code,name
1332.T,Nissui Corporation
1605.T,Inpex Corp.
1721.T,Comsys Holdings Corp.
1801.T,Taisei Corp.
1802.T,Obayashi Corp.
1803.T,Shimizu Corp.
1808.T,Haseko Corp.
1812.T,Kajima Corp.
1925.T,Daiwa House Industry Co.
1928.T,Sekisui House
1963.T,JGC Corporation
2002.T,Nisshin Seifun Group Inc.
2269.T,Meiji Holdings Company
2282.T,NH Foods Ltd.
2413.T,M3 Inc.
2432.T,Dena Co.
2501.T,Sapporo Holdings Ltd.
2502.T,Asahi Group Holdings
2503.T,Kirin Holdings Co
2768.T,Sojitz Corp.
2801.T,Kikkoman Corp.
2802.T,Ajinomoto Co.
285A.T,Kioxia Holdings Corp.
2871.T,Nichirei Corp.
2914.T,Japan Tobacco Inc.
3086.T,J. Front Retailing Co.
3092.T,ZOZO Co.
3099.T,Isetan Mitsukoshi Holdings Ltd.
3289.T,Tokyu Land Corp.
3382.T,Seven & I Holdings Co.
3401.T,Teijin Ltd.
3402.T,Toray Industries
3405.T,Kuraray Co.
3407.T,Asahi Kasei Corp.
3436.T,SUMCO Corp.
3659.T,Nexon Co.
3697.T,SHIFT Inc.
3861.T,Oji Holdings Corporation
4004.T,Resonac Corp.
4005.T,Sumitomo Chemical Co.
4021.T,Nissan Chemical Industries
4042.T,Tosoh Corp.
4043.T,Tokuyama Corporation
4061.T,Denka Co.
4063.T,信越化学工業
4151.T,Kyowa Hakko Kirin Co.
4183.T,Mitsui Chemicals
4188.T,Mitsubishi Chemical Holdings Corp.
4208.T,Ube Industries
4307.T,Nomura Research Institute Ltd.
4324.T,Dentsu Inc.
4385.T,Mercari Inc.
4452.T,Kao Corp.
4502.T,武田薬品工業
4503.T,Astellas Pharma Inc.
4506.T,Sumitomo Dainippon Pharma Co.
4507.T,Shionogi & Co.
4519.T,中外製薬
4523.T,Eisai Co.
4543.T,Terumo Corp.
4568.T,第一三共
4578.T,Otsuka Holdings Co.
4661.T,Oriental Land Co.
4689.T,LY Corporation
4704.T,Trend Micro Inc.
4751.T,CyberAgent Inc.
4755.T,Rakuten Inc.
4901.T,Fujifilm Holdings Corp.
4902.T,Konica Minolta Holdings
4911.T,Shiseido Co.
5019.T,Idemitsu Kosan Co.
5020.T,Eneos Holdings
5101.T,The Yokohama Rubber Co.
5108.T,ブリヂストン
5201.T,AGC Inc.
5214.T,Nippon Electric Glass Co.
5233.T,Taiheiyo Cement Corp.
5301.T,Tokai Carbon Co.
5332.T,Toto Ltd.
5333.T,NGK Insulators
5401.T,日本製鉄
5406.T,Kobe Steel
5411.T,JFE Holdings
543A.T,Archion Corp.
5631.T,The Japan Steel Works
5706.T,Mitsui Mining & Smelting Co.
5711.T,Mitsubishi Materials Corp.
5713.T,Sumitomo Metal Mining Co.
5714.T,Dowa Holdings Co.
5801.T,The Furukawa Electric Co.
5802.T,Sumitomo Electric Industries
5803.T,Fujikura Ltd.
5831.T,Shizuoka Financial Group
6098.T,リクルートホールディングス
6103.T,Okuma Holdings
6113.T,Amada Co. Ltd.
6146.T,Disco Corporation Ltd.
6178.T,Japan Post Holdings Co.
6273.T,SMC Corporation
6301.T,Komatsu Ltd.
6302.T,Sumitomo Heavy Industries
6305.T,Hitachi Construction Machinery Co.
6326.T,Kubota Corp.
6361.T,Ebara Corp.
6367.T,ダイキン工業
6471.T,NSK Ltd.
6472.T,NTN Corp.
6473.T,JTEKT Corp.
6479.T,MinebeaMitsumi
6501.T,日立製作所
6503.T,Mitsubishi Electric Corp.
6504.T,Fuji Electric Co.
6506.T,Yaskawa Electric Corporation
6526.T,Socionext Inc.
6532.T,Baycurrent Inc.
6594.T,Nidec
6645.T,Omron Corp.
6701.T,NEC Corp.
6702.T,Fujitsu Ltd.
6723.T,Renesas Electronics
6724.T,Seiko Epson Corp.
6752.T,パナソニックホールディングス
6753.T,Sharp Corporation
6758.T,ソニーグループ
6762.T,TDK Corp.
6770.T,Alps Alpine Co.
6841.T,Yokogawa Electric Corp.
6857.T,Advantest Corp.
6861.T,キーエンス
6902.T,デンソー
6920.T,Lasertec
6954.T,FANUC Corp.
6963.T,Rohm Co.
6971.T,Kyocera Corp.
6976.T,Taiyo Yuden Co.
6981.T,Murata Manufacturing Co.
6988.T,Nitto Denko
7004.T,Kanadevia Corp.
7011.T,Mitsubishi Heavy Industries
7012.T,Kawasaki Heavy Industries
7013.T,IHI Corp.
7186.T,Yokohama Financial Group
7201.T,Nissan Motor Co.
7202.T,Isuzu Motors Ltd.
7203.T,トヨタ自動車
7211.T,Mitsubishi Motors Corp.
7261.T,Mazda Motor Corp.
7267.T,本田技研工業
7269.T,Suzuki Motor Corp.
7270.T,Subaru Corp.
7272.T,Yamaha Motor Company
7453.T,Muji Co.
7532.T,Pan Pacific International Holdings Corp.
7731.T,Nikon Corp.
7733.T,Olympus Corp.
7735.T,SCREEN Holdings
7741.T,Hoya Corporation
7751.T,キヤノン
7752.T,Ricoh Co.
7832.T,Bandai Namco Holdings
7911.T,Toppan Printing Co.
7912.T,Dai Nippon Printing Co.
7951.T,Yamaha Corporation
7974.T,任天堂
8001.T,Itochu Corp.
8002.T,Marubeni Corp.
8015.T,Toyota Tsusho Corp.
8031.T,三井物産
8035.T,東京エレクトロン
8053.T,Sumitomo Corp.
8058.T,三菱商事
8233.T,Takashimaya Co.
8252.T,Marui Group Co.
8253.T,Credit Saison Co.
8267.T,Aeon Co.
8304.T,Aozora Bank
8306.T,三菱UFJフィナンシャル・グループ
8308.T,Resona Holdings
8309.T,Sumitomo Mitsui Trust Holdings
8316.T,三井住友フィナンシャルグループ
8331.T,The Chiba Bank
8354.T,Fukuoka Financial Group
8411.T,みずほフィナンシャルグループ
8591.T,オリックス
8601.T,Daiwa Securities Group Inc.
8604.T,Nomura Holdings
8630.T,Sompo Holdings
8697.T,Japan Exchange Group Inc.
8725.T,MS&AD Insurance Group
8750.T,Dai-ichi Life Insurance Company
8766.T,東京海上ホールディングス
8795.T,T&D Holdings
8801.T,Mitsui Fudosan Co.
8802.T,Mitsubishi Estate Co.
8804.T,Tokyo Tatemono Co.
8830.T,Sumitomo Realty & Development Co.
9001.T,Tobu Railway Co.
9005.T,Tokyu Corp.
9007.T,Odakyu Electric Railway Co.
9008.T,Keio Corp.
9009.T,Keisei Electric Railway Co.
9020.T,東日本旅客鉄道
9021.T,West Japan Railway Company
9022.T,Central Japan Railway Company
9064.T,Yamato Holdings Co.
9101.T,Nippon Yusen K.K.
9104.T,Mitsui O.S.K. Lines
9107.T,Kawasaki Kisen Kaisha
9147.T,Nippon Express Holdings Inc.
9201.T,Japan Airlines Co.
9202.T,ANA Holdings Inc.
9432.T,NTT
9433.T,KDDI
9434.T,SoftBank Corp.
9501.T,Tokyo Electric Power Company Holdings
9502.T,Chubu Electric Power Co.
9503.T,The Kansai Electric Power Co.
9531.T,Tokyo Gas Co.
9532.T,Osaka Gas Co.
9602.T,Toho Co.
9735.T,Secom Co.
9766.T,Konami Corp.
9843.T,Nitori Holdings Co.
9983.T,ファーストリテイリング
9984.T,ソフトバンクグループ
