code,name
5803.T,株式会社フジクラ
6976.T,太陽誘電株式会社
9984.T,ソフトバンクグループ株式会社
6981.T,株式会社村田製作所
5801.T,古河電気工業株式会社
7974.T,任天堂株式会社
7203.T,トヨタ自動車株式会社
5016.T,ＪＸ金属株式会社
7011.T,三菱重工業株式会社
6501.T,株式会社日立製作所
6758.T,ソニーグループ株式会社
5802.T,住友電気工業株式会社
6723.T,ルネサスエレクトロニクス株式会社
3436.T,株式会社ＳＵＭＣＯ
6954.T,ファナック株式会社
7013.T,株式会社ＩＨＩ
4063.T,信越化学工業株式会社
6752.T,パナソニックホールディングス株式会社
6503.T,三菱電機株式会社
8058.T,三菱商事株式会社
8136.T,株式会社サンリオ
6701.T,日本電気株式会社
7012.T,川崎重工業株式会社
6762.T,ＴＤＫ株式会社
7267.T,本田技研工業株式会社
3103.T,ユニチカ株式会社
5401.T,日本製鉄株式会社
7936.T,株式会社アシックス
2914.T,日本たばこ産業株式会社
8031.T,三井物産株式会社
8001.T,伊藤忠商事株式会社
6702.T,富士通株式会社
3110.T,日東紡績株式会社
8002.T,丸紅株式会社
4901.T,富士フイルムホールディングス株式会社
6506.T,株式会社安川電機
4502.T,武田薬品工業株式会社
6301.T,株式会社小松製作所
2802.T,味の素株式会社
6361.T,株式会社荏原製作所
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社
9501.T,東京電力ホールディングス株式会社
6963.T,ローム株式会社
7272.T,ヤマハ発動機株式会社
8053.T,住友商事株式会社
3382.T,株式会社セブン＆アイ・ホールディングス
4568.T,第一三共株式会社
6971.T,京セラ株式会社
8015.T,豊田通商株式会社
5108.T,株式会社ブリヂストン
4519.T,中外製薬株式会社
7832.T,株式会社バンダイナムコホールディングス
1605.T,株式会社ＩＮＰＥＸ
7751.T,キヤノン株式会社
8802.T,三菱地所株式会社
6526.T,株式会社ソシオネクスト
6902.T,株式会社デンソー
7269.T,スズキ株式会社
6305.T,日立建機株式会社
4452.T,花王株式会社
5711.T,三菱マテリアル株式会社
4503.T,アステラス製薬株式会社
8267.T,イオン株式会社
8473.T,ＳＢＩホールディングス株式会社
6890.T,株式会社フェローテック
6326.T,株式会社　クボタ
3563.T,株式会社ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ
7003.T,株式会社三井Ｅ＆Ｓ
6383.T,株式会社ダイフク
7270.T,株式会社ＳＵＢＡＲＵ
6645.T,オムロン株式会社
4543.T,テルモ株式会社
6315.T,ＴＯＷＡ株式会社
5411.T,ＪＦＥホールディングス株式会社
2502.T,アサヒグループホールディングス株式会社
7201.T,日産自動車株式会社
1812.T,鹿島建設株式会社
7453.T,株式会社　良品計画
6330.T,東洋エンジニアリング株式会社
3905.T,データセクション株式会社
6479.T,ミネベアミツミ株式会社
4911.T,株式会社資生堂
7532.T,株式会社パン・パシフィック・インターナショナルホールディングス
7733.T,オリンパス株式会社
3407.T,旭化成株式会社
9697.T,株式会社カプコン
3350.T,株式会社メタプラネット
2503.T,キリンホールディングス株式会社
4385.T,株式会社メルカリ
7911.T,ＴＯＰＰＡＮホールディングス株式会社
6988.T,日東電工株式会社
5101.T,横浜ゴム株式会社
6481.T,ＴＨＫ株式会社
5201.T,ＡＧＣ株式会社
5334.T,日本特殊陶業株式会社
6324.T,株式会社ハーモニック・ドライブ・システムズ
6323.T,ローツェ株式会社
1925.T,大和ハウス工業株式会社
5333.T,ＮＧＫ株式会社
7261.T,マツダ株式会社
6590.T,芝浦メカトロニクス株式会社
4186.T,東京応化工業株式会社
6594.T,ニデック株式会社
4182.T,三菱瓦斯化学株式会社
6134.T,株式会社ＦＵＪＩ
1802.T,株式会社大林組
1928.T,積水ハウス株式会社
4005.T,住友化学株式会社
1803.T,清水建設株式会社
