code,name
9984.T,ソフトバンクグループ株式会社
6976.T,太陽誘電株式会社
5803.T,株式会社フジクラ
6981.T,株式会社村田製作所
8306.T,株式会社三菱ＵＦＪフィナンシャル・グループ
5801.T,古河電気工業株式会社
8316.T,株式会社三井住友フィナンシャルグループ
7203.T,トヨタ自動車株式会社
8411.T,株式会社みずほフィナンシャルグループ
6525.T,株式会社ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
7974.T,任天堂株式会社
5016.T,ＪＸ金属株式会社
7011.T,三菱重工業株式会社
6758.T,ソニーグループ株式会社
6501.T,株式会社日立製作所
8766.T,東京海上ホールディングス株式会社
8001.T,伊藤忠商事株式会社
8058.T,三菱商事株式会社
5802.T,住友電気工業株式会社
4063.T,信越化学工業株式会社
9432.T,ＮＴＴ株式会社
3436.T,株式会社ＳＵＭＣＯ
6723.T,ルネサスエレクトロニクス株式会社
6752.T,パナソニックホールディングス株式会社
8031.T,三井物産株式会社
7013.T,株式会社ＩＨＩ
5713.T,住友金属鉱山株式会社
6503.T,三菱電機株式会社
6701.T,日本電気株式会社
7012.T,川崎重工業株式会社
6954.T,ファナック株式会社
6702.T,富士通株式会社
5401.T,日本製鉄株式会社
7936.T,株式会社アシックス
9433.T,ＫＤＤＩ株式会社
6762.T,ＴＤＫ株式会社
7267.T,本田技研工業株式会社
8002.T,丸紅株式会社
9104.T,株式会社　商船三井
4502.T,武田薬品工業株式会社
8308.T,株式会社　りそなホールディングス
9101.T,日本郵船株式会社
8136.T,株式会社サンリオ
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社
2914.T,日本たばこ産業株式会社
6330.T,東洋エンジニアリング株式会社
9501.T,東京電力ホールディングス株式会社
1605.T,株式会社ＩＮＰＥＸ
8591.T,オリックス株式会社
6301.T,株式会社小松製作所
485A.T,株式会社パワーエックス
8053.T,住友商事株式会社
3103.T,ユニチカ株式会社
3382.T,株式会社セブン＆アイ・ホールディングス
6203.T,豊和工業株式会社
7182.T,株式会社ゆうちょ銀行
9434.T,ソフトバンク株式会社
9107.T,川崎汽船株式会社
4568.T,第一三共株式会社
6506.T,株式会社安川電機
8015.T,豊田通商株式会社
8750.T,株式会社第一ライフグループ
8604.T,野村ホールディングス株式会社
6971.T,京セラ株式会社
8309.T,三井住友トラストグループ株式会社
4519.T,中外製薬株式会社
5711.T,三菱マテリアル株式会社
8267.T,イオン株式会社
7832.T,株式会社バンダイナムコホールディングス
3110.T,日東紡績株式会社
5411.T,ＪＦＥホールディングス株式会社
8630.T,ＳＯＭＰＯホールディングス株式会社
3563.T,株式会社ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ
4661.T,株式会社オリエンタルランド
6963.T,ローム株式会社
8473.T,ＳＢＩホールディングス株式会社
2802.T,味の素株式会社
7751.T,キヤノン株式会社
5108.T,株式会社ブリヂストン
4503.T,アステラス製薬株式会社
8801.T,三井不動産株式会社
7532.T,株式会社パン・パシフィック・インターナショナルホールディングス
6178.T,日本郵政株式会社
6326.T,株式会社　クボタ
8802.T,三菱地所株式会社
9503.T,関西電力株式会社
6361.T,株式会社荏原製作所
4901.T,富士フイルムホールディングス株式会社
5020.T,ＥＮＥＯＳホールディングス株式会社
7269.T,スズキ株式会社
6902.T,株式会社デンソー
7201.T,日産自動車株式会社
7272.T,ヤマハ発動機株式会社
4307.T,株式会社野村総合研究所
336A.T,ダイナミックマッププラットフォーム株式会社
9843.T,株式会社ニトリホールディングス
6594.T,ニデック株式会社
4755.T,楽天グループ株式会社
3350.T,株式会社メタプラネット
6526.T,株式会社ソシオネクスト
4588.T,オンコリスバイオファーマ株式会社
9697.T,株式会社カプコン
7453.T,株式会社　良品計画
4689.T,ＬＩＮＥヤフー株式会社
3659.T,株式会社ネクソン
1812.T,鹿島建設株式会社
4543.T,テルモ株式会社
6305.T,日立建機株式会社
4684.T,株式会社オービック
7270.T,株式会社ＳＵＢＡＲＵ
9020.T,東日本旅客鉄道株式会社
8729.T,ソニーフィナンシャルグループ株式会社
5334.T,日本特殊陶業株式会社
2502.T,アサヒグループホールディングス株式会社
4452.T,花王株式会社
8830.T,住友不動産株式会社
8601.T,株式会社大和証券グループ本社
6890.T,株式会社フェローテック
9502.T,中部電力株式会社
6383.T,株式会社ダイフク
6988.T,日東電工株式会社
7003.T,株式会社三井Ｅ＆Ｓ
7733.T,オリンパス株式会社
6479.T,ミネベアミツミ株式会社
4385.T,株式会社メルカリ
1925.T,大和ハウス工業株式会社
4911.T,株式会社資生堂
5019.T,出光興産株式会社
9022.T,東海旅客鉄道株式会社
7014.T,株式会社名村造船所
2503.T,キリンホールディングス株式会社
6532.T,株式会社ベイカレント
1928.T,積水ハウス株式会社
7966.T,リンテック株式会社
7261.T,マツダ株式会社
1803.T,清水建設株式会社
1802.T,株式会社大林組
5333.T,ＮＧＫ株式会社
9735.T,セコム株式会社
7911.T,ＴＯＰＰＡＮホールディングス株式会社
8331.T,株式会社千葉銀行
8697.T,株式会社日本取引所グループ
7186.T,株式会社横浜フィナンシャルグループ
6645.T,オムロン株式会社
3099.T,株式会社三越伊勢丹ホールディングス
3407.T,旭化成株式会社
4507.T,塩野義製薬株式会社
4188.T,三菱ケミカルグループ株式会社
4005.T,住友化学株式会社
3038.T,株式会社神戸物産
8795.T,株式会社Ｔ＆Ｄホールディングス
9706.T,日本空港ビルデング株式会社
2768.T,双日株式会社
6315.T,ＴＯＷＡ株式会社
5201.T,ＡＧＣ株式会社
9202.T,ＡＮＡホールディングス株式会社
5631.T,株式会社日本製鋼所
5838.T,楽天銀行株式会社
9024.T,株式会社西武ホールディングス
4704.T,トレンドマイクロ株式会社
5831.T,株式会社しずおかフィナンシャルグループ
6481.T,ＴＨＫ株式会社
4182.T,三菱瓦斯化学株式会社
2413.T,エムスリー株式会社
2801.T,キッコーマン株式会社
5101.T,横浜ゴム株式会社
4506.T,住友ファーマ株式会社
5105.T,ＴＯＹＯ　ＴＩＲＥ株式会社
8050.T,セイコーグループ株式会社
9531.T,東京瓦斯株式会社
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社
6227.T,ＡＩメカテック株式会社
9506.T,東北電力株式会社
4751.T,株式会社サイバーエージェント
6613.T,株式会社ＱＤレーザ
6269.T,三井海洋開発株式会社
4203.T,住友ベークライト株式会社
9532.T,大阪瓦斯株式会社
543A.T,ＡＲＣＨＩＯＮ株式会社
7202.T,いすゞ自動車株式会社
5332.T,ＴＯＴＯ株式会社
6324.T,株式会社ハーモニック・ドライブ・システムズ
4186.T,東京応化工業株式会社
6113.T,株式会社アマダ
9201.T,日本航空株式会社
4523.T,エーザイ株式会社
9021.T,西日本旅客鉄道株式会社
6834.T,株式会社　精工技研
7259.T,株式会社アイシン
9602.T,東宝株式会社
1911.T,住友林業株式会社
4440.T,株式会社ヴィッツ
6134.T,株式会社ＦＵＪＩ
6448.T,ブラザー工業株式会社
8593.T,三菱ＨＣキャピタル株式会社
3905.T,データセクション株式会社
6841.T,横河電機株式会社
3402.T,東レ株式会社
8354.T,株式会社ふくおかフィナンシャルグループ
7747.T,朝日インテック株式会社
6965.T,浜松ホトニクス株式会社
6869.T,シスメックス株式会社
3086.T,Ｊ．フロント　リテイリング株式会社
6590.T,芝浦メカトロニクス株式会社
6323.T,ローツェ株式会社
9508.T,九州電力株式会社
4183.T,三井化学株式会社
5714.T,ＤＯＷＡホールディングス株式会社
4082.T,第一稀元素化学工業株式会社
6302.T,住友重機械工業株式会社
1878.T,大東建託株式会社
9962.T,株式会社　ミスミグループ本社
8113.T,ユニ・チャーム株式会社
6141.T,ＤＭＧ森精機株式会社
8304.T,株式会社あおぞら銀行
6370.T,栗田工業株式会社
2269.T,明治ホールディングス株式会社
7167.T,株式会社めぶきフィナンシャルグループ
6724.T,セイコーエプソン株式会社
4151.T,協和キリン株式会社
2587.T,サントリービバレッジ＆フード株式会社
4052.T,フィーチャ株式会社
7762.T,シチズン時計株式会社
8233.T,株式会社髙島屋
6268.T,ナブテスコ株式会社
186A.T,株式会社アストロスケールホールディングス
3697.T,株式会社ＳＨＩＦＴ
7912.T,大日本印刷株式会社
1944.T,株式会社きんでん
4021.T,日産化学株式会社
4768.T,株式会社　大塚商会
5110.T,住友ゴム工業株式会社
9684.T,株式会社スクウェア・エニックス・ホールディングス
4392.T,ＦＩＧ株式会社
4980.T,デクセリアルズ株式会社
3088.T,株式会社マツキヨココカラ＆カンパニー
5076.T,インフロニア・ホールディングス株式会社
5844.T,株式会社京都フィナンシャルグループ
